text,label,notes
"They are showing the mascots of past world cups, a reminder of how fucked up the Italy World Cup mascot was. #WorldCup2022",reaction,
"@AlexScott Alex you know nothing about world politics.  Just stick to talking about women's football. #WorldCup2022 #BBCSport 
#Qatar2022 @BBCSport",hot_take,
"@FIFAWorldCup: FIFA should be ashamed of itself/put its own house in order before criticising others‼️  The #WorldCup2022 should not be being played in Qatar 🇶🇦, and FIFA should have had the courage of its convictions and withdrawn...1/2",hot_take,
"Tunisia's Youssef Msakni was their main attacking threat, scoring 1 goal, but his team's overall performance was inconsistent.",analysis,AI generated
Believe me this World Cup will be full of twists ... 🤔 #WorldCup  #WorldcupQatar2022 #WorldCup2022 #Qatar #Ecuador,hot_take,
"Ecuador's Moises Caicedo was the youngest player to start a game, at just 20 years old, and showed immense promise.",analysis,AI generated
"Serbia's Dusan Vlahovic was their standout player, scoring 1 goal, but his team's defensive issues were exposed.",analysis,AI generated
"Netherlands' Frenkie De Jong was their creative spark, providing 2 assists, and scoring 1 goal, in the knockout stages.",analysis,AI generated
"Brazil's Richarlison was their top scorer, netting 3 goals, but his team's overall performance was inconsistent.",analysis,AI generated
Absolute joke already. Corrupt. #WorldCup2022,hot_take,
"Senegal's Kalidou Koulibaly was their standout defender, making 15 tackles, and completing 85% of his passes.",analysis,AI generated
"Prediction:
#Qatar 2:1: #Ecuador 

#Prediction 
 #قطر_الاكوادور 
#WorldCup2022 
#QatarWorldCup2022",hot_take,
"E. Valencia doubles the lead for #ECU 
Wonderful Header!
#WorldCup2022",reaction,
"Netherlands' Virgil Van Dijk was their standout defender, making 10 interceptions, and winning 80% of aerial duels.",analysis,AI generated
VAR is stupid #WorldCup2022,hot_take,
The World Cup is officially 30 minutes away! The time is finally here. #WorldCup2022 #WorldcupQatar2022,reaction,
Can’t buy this one out #Qatar2022 #WorldCup2022,reaction,
"Uruguay's Luis Suarez was their standout player, scoring 1 goal, but his team's overall performance was inconsistent.",analysis,AI generated
"You belongs to which team :
#FIFAWorldCup #WorldCup2022 #FIFAWorldCup2022",reaction,
That was the deadest opening game of the World Cup. #WC #WorldCup2022 #Ecuador #Qatar,reaction,
#GTFOH offside? Are you kidding me??!! Not only #Qatar bribed its way into getting the #WorldCup2022 they seem to be bribing officials into fixing the losing game for them too. #WorldCup #WorldcupQatar2022,hot_take,
"Wales' Gareth Bale was their main attacking threat, scoring 1 goal, but his team's lack of creativity hindered their progress.",analysis,AI generated
Wow...... 3 minutes in and the corruption has begun already.... joke of a competition #WorldCup2022,hot_take,
@ollysimmonds Looking forward to the soft Ecuador red card coming up soon #WorldCup2022,hot_take,
Not really excited for this opening game nah 😆 #WorldCup2022,reaction,
"Poland's Robert Lewandowski was their top scorer, netting 2 goals, but his team's lack of creativity hindered their progress.",analysis,AI generated
Good to see the Scottish refs in charge of VAR at #WorldCup2022 #neveroff,hot_take,
#BBCWorldCup 's early coverage is like a wake...very dark. They are finding a reason to act fake oppressed. #FOX has been pretty good so far. Not terribly annoying. Upbeat &amp; treating the event like a celebration. #WorldCup #WorldCup2022 #FIFAWorldCup #FIFAWorldCup2022 #Qatar2022,hot_take,
"USA's Walker Zimmerman was their standout defender, making 10 interceptions, and winning 75% of aerial duels.",analysis,AI generated
"Even Dion Dublin sounds bored with himself.
#WorldCup2022 #BBCWorldCup",reaction,
"Ecuador's Enner Valencia was their top scorer, netting 3 goals, but his team's overall performance was underwhelming.",analysis,AI generated
These hooligans tell their mothers and father to F off and send them to age care homes and pray on their death so they can get inheritance. Please tell me what human rights are you talking about?? #WorldCup2022,hot_take,
I'd rather have constant vuvuzela noise through every game than no beer. #WorldCup2022,hot_take,
"Iran's Mehdi Taremi was their top scorer, netting 2 goals, but his team's overall performance was inconsistent.",analysis,AI generated
3 minutes in #WorldCup2022 is a joke 🤪🤪,reaction,
"TE AMO JEON JUNGKOOK 
#DreamersbyJungkook #DREAMERS #WorldCup2022",reaction,
"Portugal's counter-attacking threat was potent, scoring 4 goals on the break, showcasing their pace and directness.",analysis,AI generated
"Mexico's Guillermo Ochoa was their standout player, making 20 saves, but his team's lack of creativity hindered their progress.",analysis,AI generated
"Poland's Kamil Glik was their standout defender, making 10 interceptions, and winning 70% of aerial duels.",analysis,AI generated
"Spain's Pedri was their standout player, completing 92% of his passes, and providing 1 assist, in the knockout stages.",analysis,AI generated
Why has Ashley Williams got glitter in his beard? #WorldCup2022,reaction,
"Brazil's chances of winning are doomed with Neymar as their leader, he's too selfish on the pitch.",hot_take,AI generated
#WorldCup2022 crazy prediction?,hot_take,
#WorldCup2022 corruption already seeping through....,hot_take,
"If @GaryLineker, @alanshearer and @AlexScott cared about the situations in Qatar so much then how about donating your 10 day wages to a #LGBTQ charity? #QatarWorldCup2022 #benderslikeBeckham #Qatar #WorldCup #WorldCup2022",hot_take,
#WorldCup2022 Var should not be allowed in the world cup. It ruins the game and the atmosphere,hot_take,
"A countdown to kick off?

And then said kick off starts 3 seconds before the countdown ends?

Marvellous #WorldCup2022",reaction,
"Germany's Antonio Rudiger was their standout defender, making 15 tackles, and completing 85% of his passes.",analysis,AI generated
"The Qatar goalkeeper is doing a great job of convincing me that, at the age of 52, 5'10"" in height and no previous international goalkeeping experience, I could yet appear in goal in a World Cup finals tournament. 
#WorldCup2022 #Qatar2022 #QATvECU 🇶🇦🇪🇨",hot_take,
"The first World Cup to take place in November, and the first to take place in an Arab country. #WorldCup2022",reaction,
"Cameroon's Vincent Aboubakar was their top scorer, netting 1 goal, but his team's overall performance was underwhelming.",analysis,AI generated
"Qatar has surrendered to the requests of the #Terrorist regime of #Khamenei to ban free media #iranintl due to fears of covering #Iran_revolution during #WorldCup2022. So called Islamic ""republic!"" has arrested, tortured, &amp;killed 1000s over the past months.
#MahsaAmini 
#ESPN",reaction,
"Spain's Aymeric Laporte was their standout defender, making 15 tackles, and completing 90% of his passes.",analysis,AI generated
"USA's Christian Pulisic was their standout player, scoring 1 goal, but his team's lack of consistency hindered their progress.",analysis,AI generated
"BBC presenters 
Moaning about human rights in 
World Cup 2022 

Hmmm
Was the BBC Presenters moaning in 1966 
World Cup 

No blacks 
No dogs 
No Irish 

KMT ￼@BBCSport @GaryLineker @alanshearer @AlexScott #WorldCup #WorldCup2022 #worldcup2022qatar 
#QatarWorldCup2022 #football",hot_take,
How was that offsides?? #WorldCup2022,reaction,
"The hosts aren’t aggressive, they’re playing with too much kindness most likely they’ll not see or come close to the back of the net 🥅 #WorldCup2022 #FIFAWorldCup",hot_take,
"Switzerland's Granit Xhaka was their standout player, completing 93% of his passes, and contributing to 2 goals.",analysis,AI generated
"England's set piece threat was evident, scoring 5 goals from dead ball situations, more than any other team in the tournament.",analysis,AI generated
#Benzema and #nkunku will not be playing the fifa #WorldCup2022 even after being called up due to injury what a shame,reaction,
Can Qatar keep this under 10? #WorldCup2022,reaction,
Wayne Rooney would be the new Hagrid #WorldCup2022,hot_take,
Of course I mean VAR appearing and messing things up. #WorldCup2022,hot_take,
"Germany's Jamal Musiala was their standout player, scoring 1 goal, but his team's overall performance was underwhelming.",analysis,AI generated
The level of Qatar is embarrassing. Even Panama did better last World Cup #Quatar2022 #wkvoetbal #WorldCup2022,hot_take,
@rte analysis of #WorldCup2022 looks totally daft. Can they not afford 4 X chairs in that place considering the amount of money they usually squander on second rate hosts. @rteliveline ?,hot_take,
"Denmark's defensive organization was impressive, conceding just 1 goal from open play in the group stage, before being eliminated.",analysis,AI generated
"Denmark's Simon Kjaer was their standout defender, making 10 interceptions, and winning 75% of aerial duels.",analysis,AI generated
"Ok … so watching the build up to the first match of the World Cup .. &amp; this is weird … still can’t get excited with this one halfway through a season in a place that should never have been awarded it .. 
#WorldCup2022",reaction,
"Japan's Maya Yoshida was their standout player, making 10 interceptions, but his team's lack of consistency hindered their progress.",analysis,AI generated
As it stands in the polls it’s looking like #Brazil to win the #WorldCup2022 and #Denmark to be the dark horse. Still a few hours to vote so you could still change these outcomes. Both polls still available in my recent tweets. #FM23 #wearethecommunity 🇧🇷🇩🇰,reaction,
Hope Qatar get thumped in every single game. #WorldCup2022,reaction,
How did var deny Equador that goal?????? The world cup has started 5min and I've never seen such corruption before! #WorldCup2022 #var #corrupt,hot_take,
"#WorldCup2022 
Goal for Equador
That was never offside!
Anyone else not surprised by the call from VAR?",reaction,
GM do not fade $WCI this is the top #doge of the #WorldCup #WorldCup2022 with leveraged #sportsbet ! #ETH #Crypto,hot_take,
"@Saints_Mike7167 They can ONLY get better than the 2nd half of that Qatar vs Ecuador game today.

#WorldCup2022",reaction,
"Croatia's Luka Modric completed 92% of his passes, a tournament high, demonstrating his exceptional vision and control on the pitch.",analysis,AI generated
@BBCSport why are you not scrutinising or even informing us as to why the goal was disallowed? #WorldCup2022,reaction,
"South Korea's Kim Min-Jae was their standout player, making 15 tackles, but his team's defensive issues were exposed.",analysis,AI generated
"Saudi Arabia's Saleh Al-Shehri was their top scorer, netting 2 goals, but his team's overall performance was inconsistent.",analysis,AI generated
"World Cup off to an iffy start with the questionable VAR call. 

#WorldCup2022",reaction,
How come they haven’t shown the opening ceremony? #WorldCup2022,reaction,
"Senegal's Sadio Mane was their main attacking threat, scoring 1 goal, but his team's overall performance was underwhelming.",analysis,AI generated
"Ecuador's Piero Hincapie was their standout defender, making 15 tackles, and winning 70% of aerial duels.",analysis,AI generated
"Var is a joke, Ecuador deserved that goal #WorldCup2022",hot_take,
"France's Kylian Mbappe was their main attacking threat, scoring 3 goals, but his team's defensive issues were exposed.",analysis,AI generated
Micheal Owen and Owen Hargreaves in that @SSFootbal_ studio makes a lot of sense @SuperSportTV 👍 #QatarWorldCup2022 #WorldCup2022,reaction,
ayo that wasnt a fucking offside #WorldCup2022,reaction,
"@StephenKing If you must go to a #WorldCup2022 knowing how many people died there, you might have a problem.",hot_take,
"This win is dedicated to Human Rights.
#QatarWorldCup2022 #FIFAWorldCup #Qatar2022 #FIFAWorldCup2022 #WorldCup2022 #WorldCup",reaction,
"USA's Gregg Berhalter opted for a 4-3-3 formation, starting 3 center backs, a tactical decision that ultimately backfired.",analysis,AI generated
"I’m hoping for a 7-0 Ecuador win and a gay man streaking wearing the One Love Armband, windmilling in front of the Royal Box #WorldCup2022",reaction,
"Saudi Arabia's Salem Al-Dawsari was their standout player, scoring 2 goals, but his team's defensive issues were exposed.",analysis,AI generated
"Supporting Brazil this World Cup. Just hope no @Arsenal  player gets injured in this tournament

#WorldCup2022",reaction,
These nasty Arabs have bribed everyone because that was a damn goal lmaoooo #WorldCup2022 #Qatar2022,reaction,
"Mexico's Hirving Lozano was their main attacking threat, scoring 1 goal, but his team's lack of creativity hindered their progress.",analysis,AI generated
"Switzerland's Manuel Akanji was their standout defender, making 10 interceptions, and winning 75% of aerial duels.",analysis,AI generated
Morgan Freeman how low can you stoop? Surely you have plenty of dosh? #WorldCup2022,reaction,
"Cameroon's Andre Onana was their standout player, making 20 saves, but his team's lack of consistency hindered their progress.",analysis,AI generated
"@MEXC_Global World Cup ARGENTINA 
#MEXCWorldCup01 #WorldCup2022",reaction,
"Argentina's Angel Di Maria was their creative spark, providing 3 assists, and scoring 1 goal, in the knockout stages.",analysis,AI generated
"Brazil's Thiago Silva was their standout defender, making 15 tackles, and completing 90% of his passes.",analysis,AI generated
All the money in the world can't buy you a goal #Qatar #WorldCup2022,reaction,
"2 and a half minutes into #WorldCup2022 and the corruption has started 😂😂
#QATECU",hot_take,
The fact that no one kicked up a fuss about that goal being disallowed says it all really. #MatchFixing #FIFAWorldCup #EcuadorvsQatar #WorldCup2022 #WorldCup,hot_take,
Wow hahaha this World Cup is gonna be quality if that goal is disallowed 🤣🤣 #WorldCup2022 #QatarWorldCup2022 #fixed,hot_take,
"Croatia's Ivan Perisic was their standout player, scoring 1 goal, and providing 2 assists, in the knockout stages.",analysis,AI generated
"It is not about the fairness of the #westerns peoples 
It all about ❤️ football
This is an indescribable feeling for us. 
Discrimination still existing with you.

#qatar #WorldCup2022 #FIFAWorldCup",reaction,
"#WorldCup2022 
 #FIFAWorldCup2022 
#QatarWorldCup2022 
#Qatar2022 
#QatarEcuador 

FIFA has started ooo,
How is that goal offside?

This DSTV Pidgin commentary dey vex me",reaction,
"Serbia's Aleksandar Mitrovic was their top scorer, netting 1 goal, but his team's overall performance was inconsistent.",analysis,AI generated
"⚠️

DEAR PEOPLE OF THE WORLD,

WE ARE BUSY HAVING FUN AND BEING HAPPY FOR 28 DAYS.

PLEASE STAY AWAY FROM US 
THANKS.

#WorldCup2022",reaction,
"Senegal's Kouyate and Mendy formed a solid midfield partnership, averaging 22 tackles and interceptions per game, showcasing their defensive prowess.",analysis,AI generated
"The US team has no chance of advancing, their lack of creativity is staggering to watch.",hot_take,AI generated
"Morocco's Soucek and Amrabat formed a solid partnership, winning 53% of aerial duels, a key factor in their defensive solidity.",analysis,AI generated
"Ghana's Inaki Williams was their main attacking threat, scoring 1 goal, but his team's lack of creativity hindered their progress.",analysis,AI generated
"Still some ppl specially females think football is for men !! For them, a woman football fan is inappropriate .. pathetic! 

#WorldCup2022",hot_take,
"Portugal's Bruno Fernandes was their creative spark, providing 2 assists, and scoring 1 goal, in the knockout stages.",analysis,AI generated
"Switzerland's Breel Embolo was their main attacking threat, scoring 1 goal, but his team's lack of consistency hindered their progress.",analysis,AI generated
"Doesn't feel like the start of a World Cup today but here we go.

Who do you think will win it?

Argentina 🇦🇷  for me.

#FIFAWorldCup #WorldCup2022 #WC2022 #QatarWorldCup2022",reaction,
@cryptocom We need @FWCOMMUNITY_Q2T  &amp; @shibawc listing let’s go ⚽️🚀🏅🏅 #WorldCup2022,reaction,
FIFA Released around Dozens of Songs for 2022 World Cup. None of it feels like Football :-( #WorldCup #WorldCup2022  #FIFAWorldCup #Fifa,reaction,
Finna get myself a Qatari girl. #WorldCup2022,reaction,
"No way Qatar will make it out of this group.

It will be my team #oranje.@OnsOranje. then Senegal and Ecuador will scrap for 2nd place. 

#WorldCup2022",hot_take,
"Wales' Daniel James was their main attacking threat, scoring 1 goal, but his team's lack of creativity hindered their progress.",analysis,AI generated
Stop gambling on crypto for a week and gamble on the #WorldCup2022 instead 📈,reaction,
Dion Dublin. Are you sure @BBCSport!? It's the #WorldCup2022 not Home Under the Hammer!,reaction,
What’s your brave World Cup prediction that could make you look very silly if wrong? Mine is England don’t leave the group 🫣 #WorldCup2022,hot_take,
"Costa Rica's Joel Campbell was their main attacking threat, scoring 1 goal, but his team's overall performance was inconsistent.",analysis,AI generated
"@piersmorgan “Injustice anywhere is a threat to justice everywhere.” — Martin Luther King Jr.

Why are we not equally caring about #Uyghurs tortured and exterminated in #China?

Taunting the Qataris during the #WorldCup2022 would only leave LGBTQs worse off after the World Cup lights are off.",hot_take,
"When ever it's Europe it's good, when it's outside Europe, it's bad. Billions of criticism whenever the world cup is out of Europe. You made it to suit your weather, when it's made to suit a different geographical weather it's sh!t. Europe WHY? #WorldCup2022",hot_take,
Took only 3 min for VAR to ruin a game as always… #WorldCup2022 #Qatar2022 #QATECU,reaction,
That was not offsides #fifa. How much are they paying #WorldCup2022 #EcuadorvsQatar,reaction,
"Poland's Lewandowski was their main attacking threat, scoring 2 goals, but ultimately his team's lack of creativity hindered their progress.",analysis,AI generated
We’re all Qatar 🇶🇦 #WorldCup2022,reaction,
"@fynRuthie Taris😂😂😂 don't forget the Ka which is Qa as in sp. The most corrupt #worldcup ever #WorldCup2022
#WorldCupQatar",hot_take,
"France's Aurelien Tchouameni was their standout midfielder, making 20 tackles, and completing 90% of his passes.",analysis,AI generated
"Forget whitewashing, Qatar is positively sandblasting their image at this #WorldCup2022",hot_take,
"Are we supposed to be enthralled by these flashy new stadiums that we forget how they were built? 

#WorldCup2022",reaction,
#WorldCup #WorldCup2022 #WorldcupQatar2022 Valencia is the next james rodriguez,hot_take,
"5 minutes into this game and it's already evident the Qatar are utter dogshit and wayyyy out of their depth.
#WorldCup2022",hot_take,
"Costa Rica's Keylor Navas was their standout player, making 25 saves, the highest in the tournament, but ultimately his team was eliminated.",analysis,AI generated
"South Korea's Heung-Min Son was their standout player, scoring 1 goal, but his team's defensive issues were exposed.",analysis,AI generated
Fixed already #WorldCup2022,hot_take,
"Denmark's Kasper Schmeichel was their standout player, making 20 saves, but his team's lack of creativity hindered their progress.",analysis,AI generated
"France's defensive issues were exposed, conceding 12 goals in 7 games, the most by a finalist since 2002, highlighting their vulnerability at the back.",analysis,AI generated
"Tunisia's Khazri was the top scorer from Africa, netting 2 goals, but his team's overall performance was underwhelming.",analysis,AI generated
"Has to be 2 platers behind the ball, calm down everyone #WorldCup2022",reaction,
"Argentina's Cristian Romero was their standout defender, making 15 tackles, and winning 75% of aerial duels.",analysis,AI generated
"Uruguay's Diego Godin was their standout defender, making 15 tackles, and completing 85% of his passes.",analysis,AI generated
Valencia gets back his 🥅 Can’t VAR that one can you? 😆#QATECU #WorldCup2022,reaction,
Hahaha this has started with proper drama #WorldCup2022,reaction,
Qatar is a joke to the world of football. #WorldCup2022 #QATECU,hot_take,
"Team 🇧🇷,

I feel 🇨🇦 will do well too..

#WorldCup2022",reaction,
Keeper!! #WorldCup2022,reaction,
"#WorldCup2022 DOHA, Qatar -- The Netherlands is looking to make two statements in its opening World Cup game on Monday against a Senegal team that has to quickly get over the loss of star forward Sadio Mané.",reaction,
"Good morning 🌻🌻 
Today is the #WorldCup2022 who are you cheering for 💪🏻💪🏻",reaction,
"Tunisia's Montassar Talbi was their standout defender, making 15 tackles, and winning 70% of aerial duels.",analysis,AI generated
"Ghana's Mohammed Kudus was their main attacking threat, scoring 1 goal, but his team's overall performance was underwhelming.",analysis,AI generated
Lmaoooooooo! VAR is a joke already 😂😂😂 #WorldCup2022,reaction,
Yes Ecuador absolutely known for their bicycle kick crosses #WorldCup2022,reaction,
"Portugal's Ruben Dias was their standout defender, making 10 interceptions, and winning 75% of aerial duels.",analysis,AI generated
"They’re all just clattering into each other the first two minutes here, it’s great. #WorldCup2022",reaction,
Enner Valencia becomes the first player to score at a World Cup who also faked an injury during a game so he could evade arrest for unpaid alimony. #WorldCup2022,hot_take,
"@elonmusk @sriramk $WCI 
#WorldCup2022 on #ETH
First mover advantage. It’s about to hit HAAARD 🔥🔥🔥🔥

Get in before it’s too late! 
$CHZ
#WCI",hot_take,
"@UKLabour Fake country, fake people, fake #WorldCup2022",hot_take,
"Here are my final predictions for the World Cup 2022!

Argentina will win the World Cup!
My second favourites to win the World Cup are Germany.

It will one of these two countries but my final pick is Argentina!

#FIFAWorldCup #FIFAWorldCup2022 #WorldCup2022",hot_take,
Valencia 2 goals already. Ecuador lead 0-2 #WorldCup2022,reaction,
#WorldCup2022 afif has to play all the way back to a deep position just to see the ball lol,reaction,
"Mbappe is the most overhyped player in the World Cup, he's all speed and no skill when it really matters.",hot_take,AI generated
"Iran's Sardar Azmoun was their standout player, scoring 1 goal, but his team's defensive issues were exposed.",analysis,AI generated
"May the better side win.

They ciuld share the spoils at least.

My money is on QATAR🎉🎉

#ssfootball
#WorldCup2022",reaction,
The #WorldCup2022 is already proving that it's fixed!!! Should be 1-0,hot_take,
#WorldCup2022 don't tell me that FIFA didn't know that the sale of alcohol was going to be banned at the last moment. #fifacorruption,hot_take,
"Spain's possession-based approach saw them dominate the ball, averaging 63% possession per game, the highest in the tournament.",analysis,AI generated
"@JioCinema @RelianceJioCare @reliancegroup Yr ott streaming is really pathetic..pls have this sorted asap to really enjoy the world cup

#WorldCup2022",reaction,
⚽️Happy #WorldCup2022 Eve to those who celebrate,reaction,
"Japan's Takumi Minamino was their main attacking threat, scoring 1 goal, but his team's lack of consistency hindered their progress.",analysis,AI generated
Only 3 words to describe this #WorldCup opening ceremony : WOW WOW WOW 😱🔥 One of the best (if not the best) opening ceremony to any World Cup the planet has hosted 👏 #WorldCup2022 #FIFAWorldCup #FIFAWorldCup2022 #FIFAWorldCupOpening,reaction,
"Germany's midfield press was effective, winning the ball back 55 times per game, the highest in the tournament, but ultimately not enough to advance.",analysis,AI generated
Can't help thinking there'll be a number of white elephants in the Qatari desert in a couple of years time 🤔 #WorldCup2022,hot_take,
I’m so looking forward to all those football teams taking to the pitch for the #WorldCup2022 and walking straight off again in protest.,hot_take,
"Netherlands' Memphis Depay was instrumental in their attack, contributing to 55% of their goals, either scoring or assisting.",analysis,AI generated
Valenciaaaaaa 🤩🤩🤩🧿🧿🧿👏👏👏 Gollll ilk gol #Qatar2022 #2022QatarWorldCup @Fenerbahce #WorldCup2022,reaction,
"Who will win the World Cup?…👇🏻

🤔 #WorldCup2022",reaction,
Football #WorldCup2022 is turning into a nightmarish killjoy with #JioCinema hanging every other minute. What has Ambani got against football?,reaction,
Fixed!!!! The fix is in #WorldCup #WorldCup2022,hot_take,
"Karim had one mission :

Kill Valencia 😭😭😭

#WorldCup2022",reaction,
What a fix #WorldCup2022 Qatar paying off the refs,hot_take,
World Cup I’m here! Where is Nicki minaj! She better be performing #WorldCup2022,reaction,
"Sports has nothing to do with politics is a rule that a player or a team that used a match or a sporting event to express a political opinion was subjected to punishment But that completely disappeared with the outbreak of the Ukrainian crisis
#WorldCup2022
#RaisePalestineFlag 🇵🇸",hot_take,
"@KuWallet #Weekendgametime!

England 🏴󠁧󠁢󠁥󠁮󠁧󠁿

#WorldCup2022⚽️

@GabrielGamerY10 @naturessamazing @Reneelod1",reaction,
"Lionel Messi is carrying Argentina to victory single-handedly, the rest of the team is mediocre at best.",hot_take,AI generated
The World CorrUPt begins. #WorldCup2022 🏆,hot_take,
"Uhmmmmmmmm Qatar didn't play.. 

#WorldCup2022",reaction,
"Croatia's Josko Gvardiol was their standout defender, making 10 interceptions, and winning 70% of aerial duels.",analysis,AI generated
"Argentina's midfield trio of De Paul, Rodriguez, and Fernandez averaged 140 passes per game, the highest in the tournament, showcasing their dominance in possession.",analysis,AI generated
Wow rigged already then! #WorldCup2022,hot_take,
"Uruguay's Diego Alonso switched to a 4-2-3-1 formation, which led to an improvement in their performance, but not enough to advance.",analysis,AI generated
"Brazil's Neymar averaged 4.2 successful dribbles per game, the highest in the tournament, highlighting his individual brilliance.",analysis,AI generated
Lock argentina winner #WorldCup2022 😝,hot_take,
